,route_or_line,time,gated_entries,temp,precip,preciptype,snow,traincnt,date
101,Red Line,2022-01-03 05:30:00,934.49,26.9,0.0,snow,0.1,11,2022-01-03
102,Red Line,2022-01-03 06:00:00,1424.89,26.9,0.0,snow,0.1,4,2022-01-03
103,Red Line,2022-01-03 06:30:00,1496.58,26.9,0.0,snow,0.1,2,2022-01-03
104,Red Line,2022-01-03 07:00:00,2008.19,26.9,0.0,snow,0.1,0,2022-01-03
105,Red Line,2022-01-03 07:30:00,2234.41,26.9,0.0,snow,0.1,0,2022-01-03
106,Red Line,2022-01-03 08:00:00,2210.15,26.9,0.0,snow,0.1,0,2022-01-03
107,Red Line,2022-01-03 08:30:00,1860.14,26.9,0.0,snow,0.1,0,2022-01-03
108,Red Line,2022-01-03 09:00:00,1461.88,26.9,0.0,snow,0.1,0,2022-01-03
109,Red Line,2022-01-03 09:30:00,1253.16,26.9,0.0,snow,0.1,5,2022-01-03
110,Red Line,2022-01-03 10:00:00,1173.61,26.9,0.0,snow,0.1,10,2022-01-03
111,Red Line,2022-01-03 10:30:00,1097.76,26.9,0.0,snow,0.1,17,2022-01-03
112,Red Line,2022-01-03 11:00:00,1060.05,26.9,0.0,snow,0.1,20,2022-01-03
113,Red Line,2022-01-03 11:30:00,1148.47,26.9,0.0,snow,0.1,21,2022-01-03
114,Red Line,2022-01-03 12:00:00,1326.81,26.9,0.0,snow,0.1,23,2022-01-03
115,Red Line,2022-01-03 12:30:00,1230.05,26.9,0.0,snow,0.1,23,2022-01-03
116,Red Line,2022-01-03 13:00:00,1348.32,26.9,0.0,snow,0.1,23,2022-01-03
117,Red Line,2022-01-03 13:30:00,1426.36,26.9,0.0,snow,0.1,23,2022-01-03
118,Red Line,2022-01-03 14:00:00,1646.14,26.9,0.0,snow,0.1,23,2022-01-03
119,Red Line,2022-01-03 14:30:00,1865.26,26.9,0.0,snow,0.1,23,2022-01-03
120,Red Line,2022-01-03 15:00:00,2355.14,26.9,0.0,snow,0.1,22,2022-01-03
121,Red Line,2022-01-03 15:30:00,2106.36,26.9,0.0,snow,0.1,20,2022-01-03
122,Red Line,2022-01-03 16:00:00,2347.1,26.9,0.0,snow,0.1,19,2022-01-03
123,Red Line,2022-01-03 16:30:00,2375.89,26.9,0.0,snow,0.1,19,2022-01-03
124,Red Line,2022-01-03 17:00:00,2631.67,26.9,0.0,snow,0.1,18,2022-01-03
125,Red Line,2022-01-03 17:30:00,1750.97,26.9,0.0,snow,0.1,20,2022-01-03
126,Red Line,2022-01-03 18:00:00,1432.72,26.9,0.0,snow,0.1,19,2022-01-03
127,Red Line,2022-01-03 18:30:00,1099.01,26.9,0.0,snow,0.1,18,2022-01-03
