,route_or_line,date,gated_entries,temp,precip,preciptype,snow,traincnt,single_traincap,line_length_sec,tot_linecap,per_thirty_cap,supply_gap_simple,prev_supply_gap_simple,gated_entries_complex,supply_gap_complex
37,Red Line,2022-02-07,76773.85,31.8,0.273,"rain,snow",0.0,15.97872340425532,852,2520,13613.872340425532,10048.334276595744,-395497.861,8081.334,84855.184,-387416.527
38,Red Line,2022-02-08,82795.27,38.1,0.624,rain,0.0,16.872340425531913,852,2520,14375.234042553191,10610.291787234042,-415888.444,13424.866,96220.136,-402463.578
39,Red Line,2022-02-09,85997.81,35.2,0.0,,0.0,16.97872340425532,852,2520,14465.872340425532,10677.191468085106,-415830.189,17234.421,103232.231,-398595.768
40,Red Line,2022-02-10,86759.92,40.1,0.0,,0.0,16.80851063829787,852,2520,14320.851063829787,10570.151936170212,-410037.221,13711.045,100470.965,-396326.176
41,Red Line,2022-02-11,85391.49,41.4,0.0,,0.0,16.5531914893617,852,2520,14103.31914893617,10409.592723404256,-403859.368,10360.726,95752.216,-393498.642
42,Red Line,2022-02-12,58656.1,49.8,0.0,,0.0,14.4375,852,2520,12300.75,9079.1248125,-377141.891,29.686,58685.786,-377112.205
43,Red Line,2022-02-13,34473.1,29.8,0.22,"rain,snow",0.4,13.0,852,2520,11076.0,8175.142644444444,-333408.319,503.363,34976.463,-332904.956
44,Red Line,2022-02-14,76903.59,19.6,0.023,snow,0.8,15.787234042553191,852,2520,13450.72340425532,9927.91485106383,-389708.408,12474.749,89378.339,-377233.659
45,Red Line,2022-02-15,80822.12,19.1,0.0,,0.0,16.520833333333332,852,2520,14075.75,10389.244166666665,-417861.6,3235.5260000000003,84057.646,-414626.074
46,Red Line,2022-02-16,86639.71,31.3,0.0,,0.0,16.145833333333332,852,2520,13756.25,10153.422708333334,-400724.58,18133.598,104773.308,-382590.982
47,Red Line,2022-02-17,89369.65,53.3,0.0,,0.0,16.77777777777778,852,2520,14294.666666666666,10550.825355555555,-385417.491,14230.155999999999,103599.806,-371187.335
48,Red Line,2022-02-18,85155.22,45.4,0.336,rain,0.0,16.217391304347824,852,2520,13817.217391304348,10198.422413043478,-383972.211,7113.438,92268.658,-376858.773
49,Red Line,2022-02-19,53980.12,28.0,0.0,,0.0,14.1875,852,2520,12087.75,8921.910520833333,-374271.585,0.0,53980.12,-374271.585
50,Red Line,2022-02-20,42002.17,25.0,0.0,,0.0,13.166666666666666,852,2520,11218.0,8279.952104166667,-355435.531,742.263,42744.433,-354693.268
51,Red Line,2022-02-21,52034.58,40.4,0.0,,0.0,14.020833333333334,852,2520,11945.75,8817.1009375,-371186.265,0.0,52034.58,-371186.265
52,Red Line,2022-02-22,79120.42,41.4,0.337,rain,0.0,16.395833333333332,852,2520,13969.25,10310.636833333332,-415790.148,12192.745,91313.16500000001,-403597.403
53,Red Line,2022-02-23,86858.7,54.5,0.02,rain,0.0,15.936170212765957,852,2520,13577.617021276596,10021.574531914894,-384155.303,13237.672,100096.372,-370917.631
54,Red Line,2022-02-24,84383.36,27.0,0.0,,0.0,16.125,852,2520,13738.5,10140.321520833333,-402352.073,8199.244,92582.604,-394152.82899999997
55,Red Line,2022-02-25,43049.43,26.8,0.633,"rain,snow",0.3,16.875,852,2520,14377.5,10611.964354166666,-466324.859,336.228,43385.658,-465988.631
56,Red Line,2022-02-26,49687.9,23.1,0.0,snow,0.1,13.822222222222223,852,2520,11776.533333333333,8692.202955555555,-341461.233,0.0,49687.9,-341461.233
57,Red Line,2022-02-27,38429.87,30.8,0.0,,0.0,13.155555555555555,852,2520,11208.533333333333,8272.964844444445,-333853.548,672.713,39102.583,-333180.835
58,Red Line,2022-02-28,81740.37,23.4,0.0,,0.0,16.53191489361702,852,2520,14085.191489361701,10396.212638297873,-406881.624,13848.095000000001,95588.465,-393033.529
59,Red Line,2022-03-01,90217.71,29.1,0.063,rain,0.0,17.270833333333332,852,2520,14714.75,10860.887,-431104.866,8561.486,98779.196,-422543.38
60,Red Line,2022-03-02,89616.76,39.1,0.031,rain,0.0,16.875,852,2520,14377.5,10611.9643125,-419757.527,12064.174,101680.934,-407693.353
61,Red Line,2022-03-03,93541.47,33.3,0.162,rain,0.0,17.145833333333332,852,2520,14608.25,10782.279666666667,-424007.954,12664.82,106206.29,-411343.134
62,Red Line,2022-03-04,89102.08,25.6,0.0,,0.0,17.6875,852,2520,15069.75,11122.910604166667,-444797.629,7984.644,97086.724,-436812.985
63,Red Line,2022-03-05,48627.5,33.9,0.0,,0.0,12.875,852,2520,10969.5,8096.535708333333,-340006.214,0.0,48627.5,-340006.214
64,Red Line,2022-03-06,33766.24,51.0,0.012,rain,0.0,10.422222222222222,852,2520,8879.733333333334,6554.088977777778,-261167.764,624.8689999999999,34391.109,-260542.895
65,Red Line,2022-03-07,84810.32,55.5,0.229,rain,0.0,16.21276595744681,852,2520,13813.27659574468,10195.513574468085,-394378.81799999997,13800.646,98610.966,-380578.172
66,Red Line,2022-03-08,95144.04,40.9,0.096,rain,0.0,17.75,852,2520,15123.0,11162.214166666667,-440642.24,16697.086,111841.126,-423945.154
